,c,g1,g2,v
2527,12,75,1259,MFLAFM_12450
2528,12,1476,3557,MFLAFM_12455
2529,12,3680,4150,MFLAFM_12460
2530,12,4216,4629,MFLAFM_12465
2531,12,4727,4981,MFLAFM_12470
2532,12,5118,8741,MFLAFM_12475
2533,12,8878,12429,MFLAFM_12480
2534,12,12644,13252,MFLAFM_12485
2535,12,13427,13795,MFLAFM_12490
2536,12,13838,14338,MFLAFM_12495
2537,12,14376,14522,MFLAFMFMJG_171
2538,12,14610,15302,MFLAFM_12500
2539,12,15510,15932,MFLAFM_12505
2540,12,16113,16661,MFLAFM_12510
2541,12,16674,16856,MFLAFM_12515
2542,12,17170,17739,MFLAFM_12520
2543,12,17820,18344,MFLAFM_12525
2544,12,18344,19090,MFLAFM_12530
2545,12,19098,19502,MFLAFM_12535
2546,12,19495,20895,MFLAFM_12540
2547,12,20879,21559,MFLAFM_12545
2548,12,21949,23403,MFLAFM_12550
2549,12,23960,25033,MFLAFM_12555
2550,12,25058,26422,MFLAFM_12560
2551,12,26907,29363,MFLAFM_12565
2552,12,29377,30387,MFLAFM_12570
2553,12,30374,30940,MFLAFM_12575
2554,12,30959,31429,MFLAFM_12580
2555,12,31578,32792,MFLAFM_12585
2556,12,33000,33560,MFLAFM_12590
2557,12,33564,34451,MFLAFM_12595
2558,12,34555,35937,MFLAFM_12600
