,c,g1,g2,v
2189,6,216,1391,MFLAFM_10800
2190,6,1562,2749,MFLAFM_10805
2191,6,3019,3897,MFLAFM_10810
2192,6,4056,5693,MFLAFM_10815
2193,6,5907,6872,MFLAFM_10820
2194,6,7208,8284,MFLAFM_10825
2195,6,8534,9217,MFLAFM_10830
2196,6,9333,9995,MFLAFM_10835
2197,6,9988,10605,MFLAFM_10840
2198,6,10672,11142,MFLAFM_10845
2199,6,11289,12158,MFLAFM_10850
2200,6,12179,12745,MFLAFM_10855
2201,6,13175,16078,MFLAFM_10860
2202,6,16445,20602,MFLAFM_10865
2203,6,20996,24433,MFLAFM_10870
2204,6,24553,26025,MFLAFM_10875
2205,6,26150,27640,MFLAFM_10880
2206,6,27922,28800,MFLAFM_10885
2207,6,28813,29478,MFLAFM_10890
2208,6,29492,29854,MFLAFM_10895
2209,6,30130,30888,MFLAFM_10900
2210,6,30965,31597,MFLAFM_10905
2211,6,31599,32147,MFLAFM_10910
2212,6,32260,32907,MFLAFM_10915
2213,6,33409,34809,MFLAFM_10920
2214,6,35353,36729,MFLAFM_10925
2215,6,36731,37870,MFLAFM_10930
2216,6,37845,38210,MFLAFM_10935
2217,6,38246,38482,MFLAFM_10940
2218,6,38683,38850,MFLAFM_10945
2219,6,39357,40187,MFLAFM_10950
2220,6,40371,41027,MFLAFM_10955
2221,6,41028,41408,MFLAFM_10960
2222,6,41541,41909,MFLAFM_10965
2223,6,42030,43514,MFLAFM_10970
2224,6,43655,44107,MFLAFM_10975
2225,6,44120,44884,MFLAFM_10980
2226,6,45125,45263,MFLAFM_10985
2227,6,45433,46185,MFLAFM_10990
2228,6,46353,47339,MFLAFM_10995
2229,6,47342,48178,MFLAFM_11000
2230,6,48765,49685,MFLAFM_11005
2231,6,49690,50673,MFLAFM_11010
2232,6,50686,51762,MFLAFM_11015
2233,6,51939,52280,MFLAFM_11020
2234,6,52332,53654,MFLAFM_11025
2235,6,53641,54081,MFLAFM_11030
2236,6,54706,56100,MFLAFM_11035
2237,6,56104,56736,MFLAFM_11040
2238,6,56855,57403,MFLAFM_11045
2239,6,57543,58175,MFLAFM_11050
2240,6,58623,59561,MFLAFM_11055
2241,6,59597,59864,MFLAFM_11060
2242,6,60007,60543,MFLAFM_11065
2243,6,60711,61187,MFLAFM_11070
2244,6,61227,62522,MFLAFM_11075
2245,6,62565,63071,MFLAFM_11080
2246,6,63570,64580,MFLAFM_11085
2247,6,64856,65272,MFLAFM_11090
2248,6,65269,66930,MFLAFM_11095
2249,6,67200,67835,MFLAFM_11100
2250,6,68087,68974,MFLAFM_11105
2251,6,69087,70073,MFLAFM_11110
2252,6,70128,70847,MFLAFM_11115
2253,6,70831,71631,MFLAFM_11120
2254,6,71767,72273,MFLAFM_11125
2255,6,72435,73151,MFLAFM_11130
2256,6,73320,74108,MFLAFM_11135
2257,6,74360,74734,MFLAFM_11140
2258,6,74899,75094,MFLAFM_11145
2259,6,75682,76611,MFLAFM_11150
2260,6,76806,77030,MFLAFM_11155
2261,6,77047,77250,MFLAFM_11160
2262,6,77409,77969,MFLAFM_11165
2263,6,77988,80390,MFLAFM_11170
2264,6,80377,80802,MFLAFM_11175
2265,6,80799,81143,MFLAFM_11180
2266,6,81133,82629,MFLAFM_11185
2267,6,82630,83112,MFLAFM_11190
2268,6,83109,83411,MFLAFM_11195
2269,6,83386,83823,MFLAFM_11200
2270,6,84163,86205,MFLAFM_11205
