,c,g1,g2,v
974,2,184,1026,MFLAFM_04810
975,2,1151,1465,MFLAFM_04815
976,2,1549,2625,MFLAFM_04820
977,2,2690,3001,MFLAFM_04825
978,2,3101,3958,MFLAFM_04830
979,2,3987,4583,MFLAFM_04835
980,2,4604,8428,MFLAFM_04840
981,2,8452,9765,MFLAFM_04845
982,2,9839,10330,MFLAFM_04850
983,2,10404,11762,MFLAFM_04855
984,2,12456,13547,MFLAFM_04860
985,2,14087,15076,MFLAFM_04865
986,2,15174,16343,MFLAFM_04870
987,2,16368,17000,MFLAFM_04875
988,2,17169,18875,MFLAFM_04880
989,2,19315,20982,MFLAFM_04885
990,2,21202,21261,MFLAFM_04890
991,2,21315,23990,MFLAFM_04895
992,2,24193,25098,MFLAFM_04900
993,2,25480,26742,MFLAFM_04905
994,2,26836,28110,MFLAFM_04910
995,2,28282,28899,MFLAFM_04915
996,2,29027,30493,MFLAFM_04920
997,2,30600,31730,MFLAFM_04925
998,2,31880,33484,MFLAFM_04930
999,2,33471,34628,MFLAFM_04935
1000,2,34743,35189,MFLAFM_04940
1001,2,35269,36012,MFLAFM_04945
1002,2,36228,36830,MFLAFM_04950
1003,2,37074,37538,MFLAFM_04955
1004,2,37675,39369,MFLAFM_04960
1005,2,39715,40881,MFLAFM_04965
1006,2,40881,42104,MFLAFM_04970
1007,2,42148,42918,MFLAFM_04975
1008,2,43016,43510,MFLAFM_04980
1009,2,43633,44580,MFLAFM_04985
1010,2,44668,45870,MFLAFM_04990
1011,2,46116,46616,MFLAFM_04995
1012,2,46757,47875,MFLAFM_05000
1013,2,48191,49246,MFLAFM_05005
1014,2,49421,50110,MFLAFM_05010
1015,2,50415,50828,MFLAFM_05015
1016,2,51033,52331,MFLAFM_05020
1017,2,52643,53584,MFLAFM_05025
1018,2,53605,56802,MFLAFM_05030
1019,2,57252,58481,MFLAFM_05035
1020,2,58676,59533,MFLAFM_05040
1021,2,59533,60477,MFLAFM_05045
1022,2,60746,61714,MFLAFM_05050
1023,2,61736,63493,MFLAFM_05055
1024,2,63841,65202,MFLAFM_05060
1025,2,65550,66671,MFLAFM_05065
1026,2,66720,67988,MFLAFM_05070
1027,2,68378,69082,MFLAFM_05075
1028,2,69079,70743,MFLAFM_05080
1029,2,71242,72729,MFLAFM_05085
1030,2,73023,75653,MFLAFM_05090
1031,2,75669,76541,MFLAFM_05095
1032,2,76557,77180,MFLAFM_05100
1033,2,77350,78375,MFLAFM_05105
1034,2,78586,79056,MFLAFM_05110
1035,2,79057,80457,MFLAFM_05115
1036,2,80457,81377,MFLAFM_05120
1037,2,81789,83726,MFLAFM_05125
1038,2,83832,84007,MFLAFMFMJG_158
1039,2,84152,85645,MFLAFM_05130
1040,2,85720,85845,MFLAFMFMJG_161
1041,2,85841,86401,MFLAFM_05135
1042,2,86430,86630,MFLAFM_05140
1043,2,86677,87033,MFLAFM_05145
1044,2,87175,87783,MFLAFM_05150
1045,2,87802,88731,MFLAFM_05155
1046,2,88894,90195,MFLAFM_05160
1047,2,90346,91608,MFLAFM_05165
1048,2,91762,92352,MFLAFM_05170
1049,2,92569,93915,MFLAFM_05175
1050,2,93937,94752,MFLAFM_05180
1051,2,94794,95720,MFLAFM_05185
1052,2,95742,96410,MFLAFM_05190
1053,2,96413,97387,MFLAFM_05195
1054,2,97435,98721,MFLAFM_05200
1055,2,98923,99990,MFLAFM_05205
1056,2,100214,100774,MFLAFM_05210
1057,2,100832,101133,MFLAFMFMJG_157
1058,2,101177,103807,MFLAFM_05215
1059,2,103820,105091,MFLAFM_05220
1060,2,105361,106068,MFLAFM_05225
1061,2,106065,106751,MFLAFM_05230
1062,2,106819,107103,MFLAFM_05235
1063,2,107577,108050,MFLAFM_05240
1064,2,108442,109284,MFLAFM_05245
1065,2,109284,109814,MFLAFM_05250
1066,2,109841,110037,MFLAFMFMJG_162
1067,2,110050,110358,MFLAFM_05255
1068,2,110364,110684,MFLAFM_05260
1069,2,110696,110980,MFLAFM_05265
1070,2,111334,112626,MFLAFM_05270
1071,2,112639,113094,MFLAFM_05275
1072,2,113108,113710,MFLAFM_05280
1073,2,113742,114746,MFLAFM_05285
1074,2,114748,115773,MFLAFM_05290
1075,2,115796,116935,MFLAFM_05295
1076,2,116954,117214,MFLAFM_05300
1077,2,117489,119768,MFLAFM_05305
1078,2,119971,122244,MFLAFM_05310
1079,2,122266,122784,MFLAFM_05315
1080,2,123191,125401,MFLAFM_05320
1081,2,125413,125865,MFLAFM_05325
1082,2,125862,126737,MFLAFM_05330
1083,2,127198,128460,MFLAFM_05335
1084,2,128476,130242,MFLAFM_05340
1085,2,130320,130510,MFLAFM_05345
1086,2,130703,131476,MFLAFM_05350
1087,2,131637,132911,MFLAFM_05355
1088,2,132996,133418,MFLAFM_05360
1089,2,133518,133700,MFLAFM_05365
1090,2,133740,133886,MFLAFM_05370
1091,2,134123,135136,MFLAFM_05375
1092,2,135448,136590,MFLAFM_05380
1093,2,136591,137709,MFLAFM_05385
1094,2,137985,138191,MFLAFM_05390
1095,2,138404,139072,MFLAFM_05395
1096,2,139074,141551,MFLAFM_05400
1097,2,141894,144524,MFLAFM_05405
1098,2,144587,144847,MFLAFM_05410
1099,2,144851,145279,MFLAFM_05415
1100,2,145294,145602,MFLAFM_05420
1101,2,145887,146525,MFLAFM_05425
1102,2,146528,147451,MFLAFM_05430
1103,2,147463,148731,MFLAFM_05435
1104,2,148731,149354,MFLAFM_05440
1105,2,149382,149858,MFLAFM_05445
1106,2,150184,150918,MFLAFM_05450
1107,2,150908,151918,MFLAFM_05455
1108,2,151920,152369,MFLAFM_05460
1109,2,152383,153744,MFLAFM_05465
1110,2,153744,154496,MFLAFM_05470
1111,2,154509,155738,MFLAFM_05475
1112,2,156027,157247,MFLAFM_05480
1113,2,157705,157955,MFLAFM_05485
1114,2,157954,158427,MFLAFM_05490
1115,2,158576,158764,MFLAFM_05495
1116,2,158966,159235,MFLAFM_05500
1117,2,159549,160235,MFLAFM_05505
1118,2,160255,160782,MFLAFM_05510
1119,2,160783,161883,MFLAFM_05515
1120,2,161897,162703,MFLAFM_05520
1121,2,162707,162997,MFLAFM_05525
1122,2,163000,163569,MFLAFM_05530
1123,2,163559,164143,MFLAFM_05535
1124,2,164144,164497,MFLAFM_05540
1125,2,164500,165216,MFLAFM_05545
1126,2,165265,165942,MFLAFM_05550
1127,2,166064,166495,MFLAFM_05555
1128,2,166500,168701,MFLAFM_05560
1129,2,168758,169732,MFLAFM_05565
1130,2,169777,170028,MFLAFM_05570
1131,2,170374,172197,MFLAFM_05575
1132,2,172265,172511,MFLAFM_05580
1133,2,172730,173887,MFLAFM_05585
1134,2,173988,174965,MFLAFM_05590
1135,2,174997,175623,MFLAFM_05595
1136,2,175692,177524,MFLAFM_05600
1137,2,177660,178799,MFLAFM_05605
1138,2,178803,179741,MFLAFM_05610
1139,2,179743,180495,MFLAFM_05615
1140,2,180502,181848,MFLAFM_05620
1141,2,182141,182317,MFLAFM_05625
1142,2,182537,183244,MFLAFM_05630
1143,2,183262,184251,MFLAFM_05635
1144,2,184268,184966,MFLAFM_05640
1145,2,185270,186217,MFLAFM_05645
1146,2,186218,186685,MFLAFM_05650
1147,2,186688,187032,MFLAFM_05655
1148,2,187043,187447,MFLAFM_05660
1149,2,187448,188347,MFLAFM_05665
1150,2,188375,189121,MFLAFM_05670
1151,2,189271,190662,MFLAFM_05675
1152,2,191081,191620,MFLAFM_05680
