,c,g1,g2,v
2076,5,722,1990,MFLAFM_10240
2077,5,2005,2577,MFLAFM_10245
2078,5,2578,3948,MFLAFM_10250
2079,5,3962,5008,MFLAFM_10255
2080,5,5011,6540,MFLAFM_10260
2081,5,6570,7574,MFLAFM_10265
2082,5,7711,7965,MFLAFM_10270
2083,5,7965,9734,MFLAFM_10275
2084,5,9762,11450,MFLAFM_10280
2085,5,11555,11759,MFLAFM_10285
2086,5,11928,12422,MFLAFM_10290
2087,5,12403,13065,MFLAFM_10295
2088,5,13038,13502,MFLAFM_10300
2089,5,13495,14520,MFLAFM_10305
2090,5,14835,16445,MFLAFM_10310
2091,5,16807,18735,MFLAFM_10315
2092,5,18988,19623,MFLAFM_10320
2093,5,19927,21006,MFLAFM_10325
2094,5,21066,21290,MFLAFM_10330
2095,5,21498,22748,MFLAFM_10335
2096,5,22931,23881,MFLAFM_10340
2097,5,24030,25514,MFLAFM_10345
2098,5,25511,26470,MFLAFM_10350
2099,5,26839,27510,MFLAFM_10355
2100,5,27574,28857,MFLAFM_10360
2101,5,28887,29030,MFLAFM_10365
2102,5,29033,29650,MFLAFM_10370
2103,5,29802,30315,MFLAFM_10375
2104,5,29832,29966,MFLAFM_10380
2105,5,30566,31351,MFLAFM_10385
2106,5,31712,32338,MFLAFM_10390
2107,5,32535,33794,MFLAFM_10395
2108,5,33819,34562,MFLAFM_10400
2109,5,34737,35021,MFLAFM_10405
2110,5,35097,36713,MFLAFM_10410
2111,5,37253,38560,MFLAFM_10415
2112,5,38623,38884,MFLAFM_10420
2113,5,39004,40227,MFLAFM_10425
2114,5,40663,41718,MFLAFM_10430
2115,5,41740,42756,MFLAFM_10435
2116,5,42994,43818,MFLAFM_10440
2117,5,43875,44912,MFLAFM_10445
2118,5,45106,45810,MFLAFM_10450
2119,5,45950,46117,MFLAFM_10455
2120,5,46272,46970,MFLAFM_10460
2121,5,47152,47784,MFLAFM_10465
2122,5,47938,48165,MFLAFM_10470
2123,5,48188,48976,MFLAFM_10475
2124,5,48993,49187,MFLAFM_10480
2125,5,49182,49538,MFLAFM_10485
2126,5,49588,49779,MFLAFM_10490
2127,5,49781,50008,MFLAFM_10495
2128,5,50067,50387,MFLAFM_10500
2129,5,50384,50545,MFLAFM_10505
2130,5,50638,50940,MFLAFM_10510
2131,5,50944,51204,MFLAFM_10515
2132,5,51217,51753,MFLAFM_10520
2133,5,51754,52401,MFLAFM_10525
2134,5,52401,52817,MFLAFM_10530
2135,5,52831,53505,MFLAFM_10535
2136,5,53502,53621,MFLAFM_10540
2137,5,53615,54265,MFLAFM_10545
2138,5,54320,55090,MFLAFM_10550
2139,5,55100,55873,MFLAFM_10555
2140,5,55867,56025,MFLAFM_10560
2141,5,56039,56260,MFLAFM_10565
2142,5,56271,56675,MFLAFM_10570
2143,5,56680,56865,MFLAFM_10575
2144,5,56866,57234,MFLAFM_10580
2145,5,57238,57480,MFLAFM_10585
2146,5,57495,57743,MFLAFM_10590
2147,5,57736,58272,MFLAFM_10595
2148,5,58309,58515,MFLAFM_10600
2149,5,58512,58715,MFLAFM_10605
2150,5,58708,58944,MFLAFM_10610
2151,5,58934,59323,MFLAFM_10615
2152,5,59320,59469,MFLAFM_10620
2153,5,59469,59669,MFLAFM_10625
2154,5,59697,60113,MFLAFM_10630
2155,5,60345,60644,MFLAFM_10635
2156,5,60775,61119,MFLAFM_10640
2157,5,61116,62777,MFLAFM_10645
2158,5,62793,63956,MFLAFM_10650
2159,5,63940,64677,MFLAFM_10655
2160,5,64625,65845,MFLAFM_10660
2161,5,65865,66149,MFLAFM_10665
2162,5,66139,66423,MFLAFM_10670
2163,5,66407,66769,MFLAFM_10675
2164,5,66766,67170,MFLAFM_10680
2165,5,67167,67574,MFLAFM_10685
2166,5,67575,68219,MFLAFM_10690
2167,5,68535,68885,MFLAFM_10695
2168,5,68936,69073,MFLAFM_10700
2169,5,69130,73659,MFLAFM_10705
2170,5,73656,75140,MFLAFM_10710
2171,5,75156,78941,MFLAFM_10715
2172,5,78931,79083,MFLAFM_10720
2173,5,79130,79417,MFLAFM_10725
2174,5,79541,79771,MFLAFM_10730
2175,5,79890,80069,MFLAFM_10735
2176,5,80309,80563,MFLAFM_10740
2177,5,80575,81330,MFLAFM_10745
2178,5,81521,82012,MFLAFM_10750
2179,5,82309,82459,MFLAFM_10755
2180,5,82791,82997,MFLAFM_10760
2181,5,83092,83541,MFLAFM_10765
2182,5,83924,84065,MFLAFM_10770
2183,5,84224,84574,MFLAFM_10775
2184,5,85198,85272,MFLAFM_10780
2185,5,85749,85949,MFLAFM_10785
2186,5,86335,87765,MFLAFM_10790
2187,5,87780,88070,MFLAFM_10795
