,c,g1,g2,v
2560,13,28,510,MFLAFM_12605
2561,13,512,1054,MFLAFM_12610
2562,13,1124,1513,MFLAFM_12615
2563,13,1516,1770,MFLAFM_12620
2564,13,2009,2935,MFLAFM_12625
2565,13,2998,3432,MFLAFM_12630
2566,13,3448,4485,MFLAFM_12635
2567,13,4812,5273,MFLAFM_12640
2568,13,5298,6209,MFLAFM_12645
2569,13,6490,7560,MFLAFM_12650
2570,13,7700,11152,MFLAFM_12655
2571,13,11706,12932,MFLAFM_12660
2572,13,13246,13521,MFLAFM_12665
2573,13,13662,14144,MFLAFM_12670
2574,13,14453,16300,MFLAFM_12675
2575,13,16402,16593,MFLAFM_12680
2576,13,16747,17574,MFLAFM_12685
2577,13,17731,18345,MFLAFM_12690
2578,13,18529,19881,MFLAFM_12695
2579,13,19960,20379,MFLAFM_12700
2580,13,20662,21681,MFLAFM_12705
2581,13,21755,22828,MFLAFM_12710
2582,13,22828,23637,MFLAFM_12715
2583,13,23643,24440,MFLAFM_12720
2584,13,24433,25527,MFLAFM_12725
2585,13,25540,26079,MFLAFM_12730
2586,13,26223,26498,MFLAFM_12735
2587,13,26666,28072,MFLAFM_12740
2588,13,28076,29368,MFLAFM_12745
2589,13,29459,30436,MFLAFM_12750
2590,13,30440,31552,MFLAFM_12755
2591,13,31723,32349,MFLAFM_12760
2592,13,32714,33265,MFLAFM_12765
2593,13,33747,33965,MFLAFM_12770
2594,13,33965,35662,MFLAFM_12775
