,c,g1,g2,v
2353,8,75,1502,MFLAFM_11610
2354,8,1740,2075,MFLAFM_11615
2355,8,2164,3423,MFLAFM_11620
2356,8,3889,4749,MFLAFM_11625
2357,8,4967,5488,MFLAFM_11630
2358,8,5597,7207,MFLAFM_11635
2359,8,7426,7495,MFLAFM_11640
2360,8,7543,8073,MFLAFM_11645
2361,8,8185,9045,MFLAFM_11650
2362,8,9470,10273,MFLAFM_11655
2363,8,10404,11075,MFLAFM_11660
2364,8,11474,12667,MFLAFM_11665
2365,8,12667,13851,MFLAFM_11670
2366,8,14162,14632,MFLAFM_11675
2367,8,14784,15134,MFLAFM_11680
2368,8,15148,16449,MFLAFM_11685
2369,8,16728,17390,MFLAFM_11690
2370,8,17704,18414,MFLAFM_11695
2371,8,18535,18978,MFLAFM_11700
2372,8,19178,19591,MFLAFM_11705
2373,8,20048,21421,MFLAFM_11710
2374,8,22093,22323,MFLAFM_11715
2375,8,22354,23292,MFLAFM_11720
2376,8,23728,24393,MFLAFM_11725
2377,8,24545,24865,MFLAFM_11730
2378,8,24867,25844,MFLAFM_11735
2379,8,26110,27201,MFLAFM_11740
2380,8,27634,27714,MFLAFM_11745
2381,8,27641,27821,MFLAFM_11750
2382,8,29234,30091,MFLAFM_11755
2383,8,30159,30941,MFLAFM_11760
2384,8,31173,32978,MFLAFM_11765
2385,8,33180,33396,MFLAFMFMJG_169
2386,8,33659,35197,MFLAFM_11770
2387,8,35232,37364,MFLAFM_11775
2388,8,37376,37810,MFLAFM_11780
2389,8,37810,38916,MFLAFM_11785
2390,8,39235,46680,MFLAFM_11790
2391,8,46958,48313,MFLAFM_11795
2392,8,48340,49272,MFLAFM_11800
2393,8,49274,50083,MFLAFM_11805
2394,8,50272,51180,MFLAFM_11810
2395,8,51318,51390,MFLAFM_11815
2396,8,51394,51468,MFLAFM_11820
2397,8,51478,51561,MFLAFM_11825
2398,8,51591,51666,MFLAFM_11830
