,c,g1,g2,v
2617,15,1028,1516,MFLAFM_12880
2618,15,1578,2204,MFLAFM_12885
2619,15,2722,2822,MFLAFM_12890
2620,15,2953,4122,MFLAFM_12895
2621,15,4784,5629,MFLAFM_12900
2622,15,5736,7493,MFLAFM_12905
2623,15,7483,7863,MFLAFM_12910
2624,15,8127,8705,MFLAFM_12915
2625,15,8832,9440,MFLAFM_12920
2626,15,9891,10184,MFLAFM_12925
2627,15,10259,12193,MFLAFM_12930
2628,15,12197,12508,MFLAFM_12935
2629,15,12520,13146,MFLAFM_12940
2630,15,13328,13669,MFLAFM_12945
2631,15,14372,14467,MFLAFM_12950
2632,15,14571,15341,MFLAFM_12955
2633,15,15785,16729,MFLAFM_12960
2634,15,16859,17047,MFLAFM_12965
2635,15,17052,17198,MFLAFM_12970
2636,15,17777,17965,MFLAFM_12975
2637,15,18348,18965,MFLAFM_12980
2638,15,18984,19331,MFLAFM_12985
2639,15,19327,19521,MFLAFMFMJG_2666
2640,15,19522,19641,MFLAFM_12990
