,c,g1,g2,v
1,1,350,1414,MFLAFM_00005
2,1,1562,3004,MFLAFM_00010
3,1,3327,3794,MFLAFM_00015
4,1,3926,5242,MFLAFM_00020
5,1,5419,6105,MFLAFM_00025
6,1,6121,7308,MFLAFM_00030
7,1,7352,7867,MFLAFM_00035
8,1,8044,8304,MFLAFM_00040
9,1,8436,9806,MFLAFM_00045
10,1,10042,11010,MFLAFM_00050
11,1,11007,12038,MFLAFM_00055
12,1,12050,13033,MFLAFM_00060
13,1,13425,14495,MFLAFM_00065
14,1,14502,16259,MFLAFM_00070
15,1,16246,17439,MFLAFM_00075
16,1,17541,19517,MFLAFM_00080
17,1,19678,20187,MFLAFM_00085
18,1,20250,20489,MFLAFM_00090
19,1,20502,21038,MFLAFM_00095
20,1,21213,22775,MFLAFM_00100
21,1,23083,24090,MFLAFM_00105
22,1,24325,25329,MFLAFM_00110
23,1,25604,26473,MFLAFM_00115
24,1,26739,28151,MFLAFM_00120
25,1,28169,29881,MFLAFM_00125
26,1,29887,30198,MFLAFM_00130
27,1,30220,31200,MFLAFM_00135
28,1,31204,32136,MFLAFM_00140
29,1,32149,32664,MFLAFM_00145
30,1,32680,33108,MFLAFM_00150
31,1,33475,34230,MFLAFM_00155
32,1,34472,35212,MFLAFM_00160
33,1,35497,35700,MFLAFM_00165
34,1,35933,36781,MFLAFM_00170
35,1,36851,37267,MFLAFM_00175
36,1,37505,37655,MFLAFM_00180
37,1,37675,40104,MFLAFM_00185
38,1,40164,41018,MFLAFM_00190
39,1,41229,42044,MFLAFM_00195
40,1,42339,42764,MFLAFM_00200
41,1,43148,43852,MFLAFM_00205
42,1,43889,45553,MFLAFM_00210
43,1,45905,46075,MFLAFM_00215
44,1,46803,47819,MFLAFM_00220
45,1,48064,48693,MFLAFM_00225
46,1,48693,49340,MFLAFM_00230
47,1,49420,49524,MFLAFM_00235
48,1,51615,51839,MFLAFM_00240
49,1,52786,53733,MFLAFM_00245
50,1,53911,54309,MFLAFM_00250
51,1,54323,54760,MFLAFM_00255
52,1,54888,54957,MFLAFMFMJG_155
53,1,55000,55803,MFLAFM_00260
54,1,55808,56614,MFLAFM_00265
55,1,56604,57464,MFLAFM_00270
56,1,57461,58270,MFLAFM_00275
57,1,57577,57642,MFLAFM_00280
58,1,58619,58682,MFLAFM_00285
59,1,58808,59176,MFLAFM_00290
60,1,59193,60137,MFLAFM_00295
61,1,60212,60601,MFLAFM_00300
62,1,60625,60990,MFLAFM_00305
63,1,61013,61126,MFLAFM_00310
64,1,61158,61376,MFLAFM_00315
65,1,61569,62216,MFLAFM_00320
66,1,62233,63525,MFLAFM_00325
67,1,63525,63965,MFLAFM_00330
68,1,63982,64161,MFLAFM_00335
69,1,64178,64678,MFLAFM_00340
70,1,64699,65058,MFLAFM_00345
71,1,65089,65625,MFLAFM_00350
72,1,65650,66048,MFLAFM_00355
73,1,66080,66265,MFLAFM_00360
74,1,66288,66827,MFLAFM_00365
