,c,g1,g2,v
1952,4,92,150,MFLAFM_09635
1953,4,296,940,MFLAFM_09640
1954,4,955,1746,MFLAFM_09645
1955,4,2296,3144,MFLAFM_09650
1956,4,3148,4557,MFLAFM_09655
1957,4,5115,5537,MFLAFM_09660
1958,4,5554,6249,MFLAFM_09665
1959,4,6246,7907,MFLAFM_09670
1960,4,8314,9582,MFLAFM_09675
1961,4,9699,16259,MFLAFM_09680
1962,4,16585,16896,MFLAFM_09685
1963,4,16918,19335,MFLAFM_09690
1964,4,19623,20804,MFLAFM_09695
1965,4,20914,21867,MFLAFM_09700
1966,4,21864,22427,MFLAFM_09705
1967,4,22550,22951,MFLAFM_09710
1968,4,23523,24350,MFLAFM_09715
1969,4,24584,25585,MFLAFM_09720
1970,4,25707,26171,MFLAFM_09725
1971,4,26184,27365,MFLAFM_09730
1972,4,27376,28008,MFLAFM_09735
1973,4,28015,29046,MFLAFM_09740
1974,4,29185,29320,MFLAFMFMJG_167
1975,4,29539,31041,MFLAFM_09745
1976,4,31564,31878,MFLAFM_09750
1977,4,31878,33170,MFLAFM_09755
1978,4,33257,34111,MFLAFM_09760
1979,4,34387,34611,MFLAFM_09765
1980,4,34810,35280,MFLAFM_09770
1981,4,35393,35836,MFLAFM_09775
1982,4,35823,36266,MFLAFM_09780
1983,4,36562,37197,MFLAFM_09785
1984,4,37637,38350,MFLAFM_09790
1985,4,38610,38912,MFLAFM_09795
1986,4,39168,39533,MFLAFM_09800
1987,4,39530,39883,MFLAFM_09805
1988,4,40125,40363,MFLAFM_09810
1989,4,40441,40695,MFLAFM_09815
1990,4,41134,41817,MFLAFM_09820
1991,4,41880,42713,MFLAFM_09825
1992,4,42925,43833,MFLAFM_09830
1993,4,43955,45151,MFLAFM_09835
1994,4,45257,45368,MFLAFMFMJG_168
1995,4,45523,47115,MFLAFM_09840
1996,4,47493,48263,MFLAFM_09845
1997,4,48244,48723,MFLAFM_09850
1998,4,48783,49040,MFLAFM_09855
1999,4,49037,50038,MFLAFM_09860
2000,4,50043,51521,MFLAFM_09865
2001,4,51680,52162,MFLAFM_09870
2002,4,52474,53088,MFLAFM_09875
2003,4,53169,54164,MFLAFM_09880
2004,4,54239,54865,MFLAFM_09885
2005,4,54906,55247,MFLAFM_09890
2006,4,55348,55920,MFLAFM_09895
2007,4,56117,56686,MFLAFM_09900
2008,4,57037,57129,MFLAFM_09905
2009,4,57317,57411,MFLAFM_09910
2010,4,57717,58217,MFLAFM_09915
2011,4,58669,59898,MFLAFM_09920
2012,4,59891,61447,MFLAFM_09925
2013,4,61808,62527,MFLAFM_09930
2014,4,62685,63404,MFLAFM_09935
2015,4,63525,64244,MFLAFM_09940
2016,4,64302,65024,MFLAFM_09945
2017,4,65149,65856,MFLAFM_09950
2018,4,66820,67401,MFLAFM_09955
2019,4,67874,68092,MFLAFM_09960
2020,4,68348,68821,MFLAFM_09965
2021,4,68826,69617,MFLAFM_09970
2022,4,69987,70970,MFLAFM_09975
2023,4,70972,71907,MFLAFM_09980
2024,4,72416,72565,MFLAFM_09985
2025,4,72803,72901,MFLAFM_09990
2026,4,73271,74059,MFLAFM_09995
2027,4,74893,75387,MFLAFM_10000
2028,4,75465,75701,MFLAFM_10005
2029,4,75722,76498,MFLAFM_10010
2030,4,77050,77826,MFLAFM_10015
2031,4,78109,78864,MFLAFM_10020
2032,4,78903,79298,MFLAFM_10025
2033,4,79273,79674,MFLAFM_10030
2034,4,79828,80556,MFLAFM_10035
2035,4,80591,81310,MFLAFM_10040
2036,4,81591,82355,MFLAFM_10045
2037,4,82587,82675,MFLAFM_10050
2038,4,82730,82801,MFLAFM_10055
2039,4,82803,82877,MFLAFM_10060
2040,4,82895,82968,MFLAFM_10065
2041,4,82984,83059,MFLAFM_10070
2042,4,83073,83145,MFLAFM_10075
2043,4,83162,83237,MFLAFM_10080
2044,4,83259,83332,MFLAFM_10085
2045,4,83313,83407,MFLAFM_10090
2046,4,83733,84287,MFLAFM_10095
2047,4,84610,86010,MFLAFM_10100
2048,4,86034,86957,MFLAFM_10105
2049,4,87015,88052,MFLAFM_10110
2050,4,88315,88818,MFLAFM_10115
2051,4,88942,90165,MFLAFM_10120
2052,4,90158,90898,MFLAFM_10125
2053,4,91032,91454,MFLAFM_10130
2054,4,91596,91961,MFLAFM_10135
2055,4,92696,93253,MFLAFM_10140
2056,4,93458,94420,MFLAFM_10145
2057,4,94541,95482,MFLAFM_10150
2058,4,95479,98415,MFLAFM_10155
2059,4,98405,99601,MFLAFM_10160
2060,4,100529,100873,MFLAFM_10165
2061,4,100942,102066,MFLAFM_10170
2062,4,102245,102709,MFLAFM_10175
2063,4,103065,103688,MFLAFM_10180
2064,4,103710,104822,MFLAFM_10185
2065,4,104985,105806,MFLAFM_10190
2066,4,106259,107644,MFLAFM_10195
2067,4,107840,108235,MFLAFM_10200
2068,4,108783,108935,MFLAFM_10205
2069,4,108960,109559,MFLAFM_10210
2070,4,109718,110188,MFLAFM_10215
2071,4,110193,111320,MFLAFM_10220
2072,4,111471,112199,MFLAFM_10225
2073,4,112186,113643,MFLAFM_10230
2074,4,113901,114962,MFLAFM_10235
