,c,g1,g2,v
2596,14,311,1006,MFLAFM_12780
2597,14,1006,3663,MFLAFM_12785
2598,14,3935,5611,MFLAFM_12790
2599,14,5630,7657,MFLAFM_12795
2600,14,7677,8237,MFLAFM_12800
2601,14,8445,8924,MFLAFM_12805
2602,14,8917,10500,MFLAFM_12810
2603,14,10484,10978,MFLAFM_12815
2604,14,10982,11341,MFLAFM_12820
2605,14,11407,12555,MFLAFM_12825
2606,14,12640,12810,MFLAFM_12830
2607,14,12807,13169,MFLAFM_12835
2608,14,13519,14520,MFLAFM_12840
2609,14,14639,14965,MFLAFM_12845
2610,14,14967,15446,MFLAFM_12850
2611,14,15421,16191,MFLAFM_12855
2612,14,16637,18775,MFLAFM_12860
2613,14,18768,19223,MFLAFM_12865
2614,14,19870,19952,MFLAFM_12870
2615,14,19974,20047,MFLAFM_12875
