,c,g1,g2,v
2400,9,15,90,MFLAFM_11835
2401,9,114,187,MFLAFM_11840
2402,9,208,284,MFLAFM_11845
2403,9,290,378,MFLAFM_11850
2404,9,386,460,MFLAFM_11855
2405,9,494,566,MFLAFM_11860
2406,9,573,648,MFLAFM_11865
2407,9,665,740,MFLAFM_11870
2408,9,753,867,MFLAFM_11875
2409,9,1425,2912,MFLAFM_11880
2410,9,3451,3927,MFLAFM_11885
2411,9,3924,4289,MFLAFM_11890
2412,9,4267,5070,MFLAFM_11895
2413,9,5286,6218,MFLAFM_11900
2414,9,6397,7278,MFLAFM_11905
2415,9,7506,9599,MFLAFM_11910
2416,9,9856,10395,MFLAFM_11915
2417,9,10400,11695,MFLAFM_11920
2418,9,11875,12276,MFLAFM_11925
2419,9,12381,12773,MFLAFM_11930
2420,9,12791,13054,MFLAFM_11935
2421,9,13051,14244,MFLAFM_11940
2422,9,14244,15770,MFLAFM_11945
2423,9,15760,19266,MFLAFM_11950
2424,9,19266,19838,MFLAFM_11955
2425,9,20149,20802,MFLAFM_11960
2426,9,20952,21917,MFLAFM_11965
2427,9,22064,23416,MFLAFM_11970
2428,9,23760,24062,MFLAFM_11975
2429,9,24134,24514,MFLAFM_11980
2430,9,24531,25355,MFLAFM_11985
2431,9,25369,26217,MFLAFM_11990
2432,9,26527,26790,MFLAFM_11995
2433,9,26890,27783,MFLAFM_12000
2434,9,27794,28330,MFLAFM_12005
2435,9,28497,29270,MFLAFM_12010
2436,9,29301,31274,MFLAFM_12015
2437,9,31559,32398,MFLAFM_12020
2438,9,32400,32648,MFLAFM_12025
2439,9,32641,33366,MFLAFM_12030
2440,9,33640,33987,MFLAFM_12035
2441,9,34004,34807,MFLAFM_12040
2442,9,34808,35734,MFLAFM_12045
2443,9,35948,36277,MFLAFM_12050
2444,9,36305,36922,MFLAFM_12055
2445,9,36924,38261,MFLAFM_12060
