,c,g1,g2,v
2272,7,638,1084,MFLAFM_11210
2273,7,1181,2140,MFLAFM_11215
2274,7,2137,2592,MFLAFM_11220
2275,7,2673,3962,MFLAFM_11225
2276,7,4204,5349,MFLAFM_11230
2277,7,5539,7275,MFLAFM_11235
2278,7,7566,8108,MFLAFM_11240
2279,7,8411,9448,MFLAFM_11245
2280,7,9600,10577,MFLAFM_11250
2281,7,10838,11674,MFLAFM_11255
2282,7,11683,13200,MFLAFM_11260
2283,7,13215,13529,MFLAFM_11265
2284,7,13507,14325,MFLAFM_11270
2285,7,14585,15394,MFLAFM_11275
2286,7,15734,16249,MFLAFM_11280
2287,7,16380,16541,MFLAFM_11285
2288,7,16765,17916,MFLAFM_11290
2289,7,18176,18706,MFLAFM_11295
2290,7,18796,20043,MFLAFM_11300
2291,7,20055,20261,MFLAFM_11305
2292,7,20402,20866,MFLAFM_11310
2293,7,20873,21148,MFLAFM_11315
2294,7,21426,22643,MFLAFM_11320
2295,7,22756,23385,MFLAFM_11325
2296,7,23375,24418,MFLAFM_11330
2297,7,24415,25116,MFLAFM_11335
2298,7,25131,25517,MFLAFM_11340
2299,7,25734,26492,MFLAFM_11345
2300,7,26570,26893,MFLAFM_11350
2301,7,27023,28009,MFLAFM_11355
2302,7,28022,28294,MFLAFM_11360
2303,7,28440,28853,MFLAFM_11365
2304,7,29078,29809,MFLAFM_11370
2305,7,29811,31124,MFLAFM_11375
2306,7,31416,31916,MFLAFM_11380
2307,7,32306,32860,MFLAFM_11385
2308,7,32928,33998,MFLAFM_11390
2309,7,34245,34775,MFLAFM_11395
2310,7,34945,36306,MFLAFM_11400
2311,7,36387,37334,MFLAFM_11405
2312,7,37379,37699,MFLAFM_11410
2313,7,38102,39529,MFLAFM_11415
2314,7,39542,40999,MFLAFM_11420
2315,7,41001,41303,MFLAFM_11425
2316,7,41670,43208,MFLAFM_11430
2317,7,43297,44496,MFLAFM_11435
2318,7,44509,46512,MFLAFM_11440
2319,7,46516,48708,MFLAFM_11445
2320,7,48705,49397,MFLAFM_11450
2321,7,49569,49871,MFLAFM_11455
2322,7,49980,51275,MFLAFM_11460
2323,7,52135,53301,MFLAFM_11465
2324,7,53332,53658,MFLAFM_11470
2325,7,53950,54123,MFLAFM_11475
2326,7,54104,54706,MFLAFM_11480
2327,7,54977,55798,MFLAFM_11485
2328,7,55791,57260,MFLAFM_11490
2329,7,57444,58520,MFLAFM_11495
2330,7,58540,59334,MFLAFM_11500
2331,7,59524,61086,MFLAFM_11505
2332,7,61291,62388,MFLAFM_11510
2333,7,62757,63317,MFLAFM_11515
2334,7,63370,64299,MFLAFM_11520
2335,7,64717,66096,MFLAFM_11525
2336,7,66216,67244,MFLAFM_11530
2337,7,67514,67915,MFLAFM_11535
2338,7,68178,68415,MFLAFM_11540
2339,7,68488,68661,MFLAFM_11545
2340,7,69040,70152,MFLAFM_11550
2341,7,70209,71051,MFLAFM_11555
2342,7,71048,71605,MFLAFM_11560
2343,7,71665,72189,MFLAFM_11565
2344,7,72310,72873,MFLAFM_11570
2345,7,72939,73679,MFLAFM_11575
2346,7,73679,74551,MFLAFM_11580
2347,7,74548,75228,MFLAFM_11585
2348,7,75229,76125,MFLAFM_11590
2349,7,76122,76502,MFLAFM_11595
2350,7,76760,76936,MFLAFM_11600
2351,7,77477,78763,MFLAFM_11605
