,c,g1,g2,v
2447,10,400,633,MFLAFM_12065
2448,10,1255,1440,MFLAFM_12070
2449,10,1647,1889,MFLAFM_12075
2450,10,1730,1972,MFLAFM_12080
2451,10,2206,2556,MFLAFM_12085
2452,10,2706,3203,MFLAFM_12090
2453,10,3463,3969,MFLAFM_12095
2454,10,4639,5040,MFLAFM_12100
2455,10,5409,5738,MFLAFM_12105
2456,10,6227,6730,MFLAFM_12110
2457,10,6723,7310,MFLAFM_12115
2458,10,7322,8122,MFLAFM_12120
2459,10,8358,9173,MFLAFM_12125
2460,10,9173,10939,MFLAFM_12130
2461,10,10991,11605,MFLAFM_12135
2462,10,11929,13710,MFLAFM_12140
2463,10,14034,14348,MFLAFM_12145
2464,10,14521,16869,MFLAFM_12150
2465,10,16879,18591,MFLAFM_12155
2466,10,18664,19185,MFLAFM_12160
2467,10,19186,19452,MFLAFM_12165
2468,10,19822,20760,MFLAFM_12170
2469,10,21192,23594,MFLAFM_12175
2470,10,23594,24652,MFLAFM_12180
2471,10,25032,25772,MFLAFM_12185
2472,10,26156,26479,MFLAFM_12190
2473,10,26498,27232,MFLAFM_12195
2474,10,27294,28262,MFLAFM_12200
2475,10,28272,29150,MFLAFM_12205
2476,10,29147,30223,MFLAFM_12210
2477,10,30223,30906,MFLAFM_12215
2478,10,31115,32167,MFLAFM_12220
2479,10,32370,34307,MFLAFM_12225
2480,10,34461,34634,MFLAFM_12230
2481,10,34714,35271,MFLAFM_12235
2482,10,35398,36537,MFLAFM_12240
